2025-06-09 13:45:36.207 +03:00 [WRN] No store type was specified for the decimal property 'DamageDeposit' on entity type 'Hotel'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.
2025-06-09 13:45:36.240 +03:00 [WRN] No store type was specified for the decimal property 'Amount' on entity type 'Payment'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.
2025-06-09 13:45:36.242 +03:00 [WRN] No store type was specified for the decimal property 'TotalPrice' on entity type 'Reservation'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.
2025-06-09 13:45:36.244 +03:00 [WRN] No store type was specified for the decimal property 'PricePerNight' on entity type 'Room'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.
2025-06-09 13:46:17.737 +03:00 [WRN] Failed to determine the https port for redirect.
2025-06-09 13:46:17.744 +03:00 [INF] HTTP OPTIONS /api/Hotels/my-hotels responded 204 in 2.7526 ms
2025-06-09 13:46:17.808 +03:00 [INF] HTTP GET /api/Hotels/my-hotels responded 401 in 50.0961 ms
2025-06-09 13:46:17.813 +03:00 [INF] HTTP OPTIONS /api/Auth/refresh responded 204 in 0.1847 ms
2025-06-09 13:46:18.147 +03:00 [INF] HTTP POST /api/Auth/refresh responded 200 in 331.2208 ms
2025-06-09 13:46:18.207 +03:00 [WRN] Compiling a query which loads related collections for more than one collection navigation, either via 'Include' or through projection, but no 'QuerySplittingBehavior' has been configured. By default, Entity Framework will use 'QuerySplittingBehavior.SingleQuery', which can potentially result in slow query performance. See https://go.microsoft.com/fwlink/?linkid=2134277 for more information. To identify the query that's triggering this warning call 'ConfigureWarnings(w => w.Throw(RelationalEventId.MultipleCollectionIncludeWarning))'.
2025-06-09 13:46:18.407 +03:00 [INF] HTTP GET /api/Hotels/my-hotels responded 200 in 254.7487 ms
2025-06-09 13:46:40.614 +03:00 [INF] HTTP OPTIONS /api/Hotels/my-hotels responded 204 in 0.1051 ms
2025-06-09 13:46:40.747 +03:00 [INF] HTTP GET /api/Hotels/my-hotels responded 200 in 128.1641 ms
2025-06-09 13:47:38.605 +03:00 [INF] HTTP OPTIONS /api/Hotels/my-hotels responded 204 in 0.0791 ms
2025-06-09 13:47:38.682 +03:00 [INF] HTTP GET /api/Hotels/my-hotels responded 200 in 73.3485 ms
2025-06-09 13:47:50.990 +03:00 [INF] HTTP OPTIONS /api/Hotels/my-hotels responded 204 in 0.0882 ms
2025-06-09 13:47:51.076 +03:00 [INF] HTTP GET /api/Hotels/my-hotels responded 200 in 71.7623 ms
2025-06-09 13:48:17.295 +03:00 [INF] HTTP OPTIONS /api/Hotels/my-hotels responded 204 in 0.1233 ms
2025-06-09 13:49:12.665 +03:00 [INF] HTTP OPTIONS /api/Hotels/my-hotels responded 204 in 0.0949 ms
2025-06-09 13:49:25.856 +03:00 [INF] HTTP OPTIONS /api/Hotels/my-hotels responded 204 in 0.1165 ms
2025-06-09 13:49:25.928 +03:00 [INF] HTTP GET /api/Hotels/my-hotels responded 200 in 67.9207 ms
2025-06-09 14:18:04.153 +03:00 [INF] HTTP OPTIONS /api/Hotels/available-hotels responded 204 in 0.4352 ms
2025-06-09 14:18:04.248 +03:00 [WRN] Compiling a query which loads related collections for more than one collection navigation, either via 'Include' or through projection, but no 'QuerySplittingBehavior' has been configured. By default, Entity Framework will use 'QuerySplittingBehavior.SingleQuery', which can potentially result in slow query performance. See https://go.microsoft.com/fwlink/?linkid=2134277 for more information. To identify the query that's triggering this warning call 'ConfigureWarnings(w => w.Throw(RelationalEventId.MultipleCollectionIncludeWarning))'.
2025-06-09 14:18:04.280 +03:00 [INF] HTTP POST /api/Hotels/available-hotels responded 200 in 124.4664 ms
2025-06-09 14:18:06.296 +03:00 [INF] HTTP OPTIONS /api/hotels/page/9c696e0a-c537-450e-9777-41c7c2099126 responded 204 in 0.1389 ms
2025-06-09 14:18:06.397 +03:00 [INF] HTTP GET /api/hotels/page/9c696e0a-c537-450e-9777-41c7c2099126 responded 200 in 96.8630 ms
