2025-06-10 08:57:25.061 +03:00 [WRN] No store type was specified for the decimal property 'DamageDeposit' on entity type 'Hotel'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.
2025-06-10 08:57:25.088 +03:00 [WRN] No store type was specified for the decimal property 'Amount' on entity type 'Payment'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.
2025-06-10 08:57:25.090 +03:00 [WRN] No store type was specified for the decimal property 'TotalPrice' on entity type 'Reservation'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.
2025-06-10 08:57:25.091 +03:00 [WRN] No store type was specified for the decimal property 'PricePerNight' on entity type 'Room'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.
2025-06-10 08:57:58.171 +03:00 [WRN] Failed to determine the https port for redirect.
2025-06-10 08:57:58.176 +03:00 [INF] HTTP OPTIONS /api/Hotels/my-hotels responded 204 in 1.9971 ms
2025-06-10 08:57:58.260 +03:00 [INF] HTTP GET /api/Hotels/my-hotels responded 401 in 68.7762 ms
2025-06-10 08:57:58.265 +03:00 [INF] HTTP OPTIONS /api/Auth/refresh responded 204 in 0.1819 ms
2025-06-10 08:57:58.569 +03:00 [INF] HTTP POST /api/Auth/refresh responded 200 in 301.6330 ms
2025-06-10 08:57:58.626 +03:00 [WRN] Compiling a query which loads related collections for more than one collection navigation, either via 'Include' or through projection, but no 'QuerySplittingBehavior' has been configured. By default, Entity Framework will use 'QuerySplittingBehavior.SingleQuery', which can potentially result in slow query performance. See https://go.microsoft.com/fwlink/?linkid=2134277 for more information. To identify the query that's triggering this warning call 'ConfigureWarnings(w => w.Throw(RelationalEventId.MultipleCollectionIncludeWarning))'.
2025-06-10 08:57:58.806 +03:00 [INF] HTTP GET /api/Hotels/my-hotels responded 200 in 232.0072 ms
2025-06-10 08:58:10.100 +03:00 [INF] HTTP OPTIONS /api/Hotels/my-hotels-dropdown responded 204 in 0.0864 ms
2025-06-10 08:58:10.101 +03:00 [INF] HTTP OPTIONS /api/reservation/pending responded 204 in 0.0584 ms
2025-06-10 08:58:10.128 +03:00 [INF] HTTP GET /api/Hotels/my-hotels-dropdown responded 200 in 25.1185 ms
2025-06-10 08:58:10.141 +03:00 [INF] HTTP GET /api/reservation/pending responded 200 in 36.7020 ms
2025-06-10 08:58:18.365 +03:00 [INF] HTTP OPTIONS /api/reservation/pending responded 204 in 0.0960 ms
2025-06-10 08:58:18.389 +03:00 [INF] HTTP GET /api/reservation/pending responded 200 in 17.9797 ms
2025-06-10 08:58:20.771 +03:00 [INF] HTTP OPTIONS /api/reservation/pending responded 204 in 0.0814 ms
2025-06-10 08:58:20.786 +03:00 [INF] HTTP GET /api/reservation/pending responded 200 in 7.0238 ms
2025-06-10 08:58:25.162 +03:00 [INF] HTTP OPTIONS /api/reservation/pending responded 204 in 0.0805 ms
2025-06-10 08:58:25.171 +03:00 [INF] HTTP GET /api/reservation/pending responded 200 in 5.9177 ms
2025-06-10 08:58:28.925 +03:00 [INF] HTTP OPTIONS /api/reservation/pending responded 204 in 0.0842 ms
2025-06-10 08:58:28.936 +03:00 [INF] HTTP GET /api/reservation/pending responded 200 in 6.1266 ms
2025-06-10 08:58:33.178 +03:00 [INF] HTTP OPTIONS /api/reservation/pending responded 204 in 0.2282 ms
2025-06-10 08:58:33.189 +03:00 [INF] HTTP GET /api/reservation/pending responded 200 in 3.2116 ms
2025-06-10 09:37:48.995 +03:00 [WRN] No store type was specified for the decimal property 'DamageDeposit' on entity type 'Hotel'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.
2025-06-10 09:37:49.027 +03:00 [WRN] No store type was specified for the decimal property 'Amount' on entity type 'Payment'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.
2025-06-10 09:37:49.028 +03:00 [WRN] No store type was specified for the decimal property 'TotalPrice' on entity type 'Reservation'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.
2025-06-10 09:37:49.030 +03:00 [WRN] No store type was specified for the decimal property 'PricePerNight' on entity type 'Room'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.
2025-06-10 09:45:43.912 +03:00 [WRN] Failed to determine the https port for redirect.
2025-06-10 09:45:43.918 +03:00 [INF] HTTP OPTIONS /api/reservation/pending responded 204 in 2.1663 ms
2025-06-10 09:45:43.918 +03:00 [INF] HTTP OPTIONS /api/Hotels/my-hotels-dropdown responded 204 in 2.1636 ms
2025-06-10 09:45:43.992 +03:00 [INF] HTTP GET /api/Hotels/my-hotels-dropdown responded 401 in 58.5375 ms
2025-06-10 09:45:43.992 +03:00 [INF] HTTP GET /api/reservation/pending responded 401 in 58.5372 ms
2025-06-10 09:45:43.997 +03:00 [INF] HTTP OPTIONS /api/Auth/refresh responded 204 in 0.0732 ms
2025-06-10 09:45:43.999 +03:00 [INF] HTTP OPTIONS /api/Auth/refresh responded 204 in 0.0557 ms
2025-06-10 09:45:44.375 +03:00 [INF] HTTP POST /api/Auth/refresh responded 200 in 373.3736 ms
2025-06-10 09:45:44.375 +03:00 [INF] HTTP POST /api/Auth/refresh responded 200 in 372.3123 ms
2025-06-10 09:45:44.437 +03:00 [INF] HTTP GET /api/Hotels/my-hotels-dropdown responded 200 in 48.5659 ms
2025-06-10 09:45:44.464 +03:00 [INF] HTTP GET /api/reservation/pending responded 200 in 67.1962 ms
2025-06-10 09:47:38.202 +03:00 [INF] HTTP OPTIONS /api/Hotels/my-hotels-dropdown responded 204 in 0.1097 ms
2025-06-10 09:47:38.203 +03:00 [INF] HTTP OPTIONS /api/reservation/pending responded 204 in 0.2957 ms
2025-06-10 09:47:38.214 +03:00 [INF] HTTP GET /api/Hotels/my-hotels-dropdown responded 200 in 7.9482 ms
2025-06-10 09:47:38.217 +03:00 [INF] HTTP GET /api/reservation/pending responded 200 in 9.1280 ms
2025-06-10 09:47:57.788 +03:00 [INF] HTTP OPTIONS /api/reservation/pending responded 204 in 0.0300 ms
2025-06-10 09:47:57.788 +03:00 [INF] HTTP OPTIONS /api/Hotels/my-hotels-dropdown responded 204 in 0.2176 ms
2025-06-10 09:47:57.801 +03:00 [INF] HTTP GET /api/Hotels/my-hotels-dropdown responded 200 in 5.2867 ms
2025-06-10 09:47:57.804 +03:00 [INF] HTTP GET /api/reservation/pending responded 200 in 10.0088 ms
2025-06-10 09:48:12.778 +03:00 [INF] HTTP OPTIONS /api/Hotels/my-hotels-dropdown responded 204 in 0.0806 ms
2025-06-10 09:48:12.779 +03:00 [INF] HTTP OPTIONS /api/reservation/pending responded 204 in 0.0495 ms
2025-06-10 09:48:12.790 +03:00 [INF] HTTP GET /api/Hotels/my-hotels-dropdown responded 200 in 6.3121 ms
2025-06-10 09:48:12.794 +03:00 [INF] HTTP GET /api/reservation/pending responded 200 in 9.4398 ms
2025-06-10 09:48:48.765 +03:00 [INF] HTTP OPTIONS /api/Hotels/my-hotels-dropdown responded 204 in 0.1020 ms
2025-06-10 09:48:48.765 +03:00 [INF] HTTP OPTIONS /api/reservation/pending responded 204 in 0.0544 ms
2025-06-10 09:48:48.774 +03:00 [INF] HTTP GET /api/Hotels/my-hotels-dropdown responded 200 in 5.6600 ms
2025-06-10 09:48:48.777 +03:00 [INF] HTTP GET /api/reservation/pending responded 200 in 7.1184 ms
2025-06-10 09:48:56.764 +03:00 [INF] HTTP OPTIONS /api/reservation/pending responded 204 in 0.0492 ms
2025-06-10 09:48:56.764 +03:00 [INF] HTTP OPTIONS /api/Hotels/my-hotels-dropdown responded 204 in 0.0801 ms
2025-06-10 09:48:56.774 +03:00 [INF] HTTP GET /api/reservation/pending responded 200 in 4.6017 ms
2025-06-10 09:48:56.774 +03:00 [INF] HTTP GET /api/Hotels/my-hotels-dropdown responded 200 in 2.6434 ms
2025-06-10 09:50:31.584 +03:00 [INF] HTTP OPTIONS /api/reservations/cdcb5da7-596c-4559-a180-b0de1a2856c1/accept responded 204 in 0.0698 ms
2025-06-10 09:50:31.590 +03:00 [INF] HTTP POST /api/reservations/cdcb5da7-596c-4559-a180-b0de1a2856c1/accept responded 404 in 0.5558 ms
2025-06-10 09:50:34.853 +03:00 [INF] HTTP OPTIONS /api/reservation/pending responded 204 in 0.0827 ms
2025-06-10 09:50:34.853 +03:00 [INF] HTTP OPTIONS /api/Hotels/my-hotels-dropdown responded 204 in 0.0773 ms
2025-06-10 09:50:34.865 +03:00 [INF] HTTP GET /api/Hotels/my-hotels-dropdown responded 200 in 6.9879 ms
2025-06-10 09:50:34.870 +03:00 [INF] HTTP GET /api/reservation/pending responded 200 in 12.8624 ms
2025-06-10 09:50:40.286 +03:00 [INF] HTTP OPTIONS /api/reservations/cdcb5da7-596c-4559-a180-b0de1a2856c1/accept responded 204 in 0.0926 ms
2025-06-10 09:50:40.291 +03:00 [INF] HTTP POST /api/reservations/cdcb5da7-596c-4559-a180-b0de1a2856c1/accept responded 404 in 0.3466 ms
2025-06-10 09:50:42.396 +03:00 [INF] HTTP OPTIONS /api/Hotels/my-hotels-dropdown responded 204 in 0.0843 ms
2025-06-10 09:50:42.396 +03:00 [INF] HTTP OPTIONS /api/reservation/pending responded 204 in 0.0554 ms
2025-06-10 09:50:42.404 +03:00 [INF] HTTP GET /api/Hotels/my-hotels-dropdown responded 200 in 4.4207 ms
2025-06-10 09:50:42.405 +03:00 [INF] HTTP GET /api/reservation/pending responded 200 in 3.5332 ms
2025-06-10 09:54:02.780 +03:00 [INF] HTTP OPTIONS /api/Reservation/pending responded 204 in 0.1444 ms
2025-06-10 09:54:02.780 +03:00 [INF] HTTP OPTIONS /api/Hotels/my-hotels-dropdown responded 204 in 0.1444 ms
2025-06-10 09:54:02.790 +03:00 [INF] HTTP GET /api/Hotels/my-hotels-dropdown responded 200 in 5.1160 ms
2025-06-10 09:54:02.794 +03:00 [INF] HTTP GET /api/Reservation/pending responded 200 in 9.5452 ms
2025-06-10 09:54:05.113 +03:00 [INF] HTTP OPTIONS /api/Reservations/cdcb5da7-596c-4559-a180-b0de1a2856c1/accept responded 204 in 0.0711 ms
2025-06-10 09:54:05.118 +03:00 [INF] HTTP POST /api/Reservations/cdcb5da7-596c-4559-a180-b0de1a2856c1/accept responded 404 in 0.2743 ms
2025-06-10 09:54:08.062 +03:00 [INF] HTTP OPTIONS /api/Hotels/my-hotels-dropdown responded 204 in 0.0871 ms
2025-06-10 09:54:08.062 +03:00 [INF] HTTP OPTIONS /api/Reservation/pending responded 204 in 0.0302 ms
2025-06-10 09:54:08.079 +03:00 [INF] HTTP GET /api/Reservation/pending responded 200 in 12.1794 ms
2025-06-10 09:54:08.088 +03:00 [INF] HTTP GET /api/Hotels/my-hotels-dropdown responded 200 in 21.9630 ms
2025-06-10 09:54:14.476 +03:00 [INF] HTTP OPTIONS /api/Reservations/cdcb5da7-596c-4559-a180-b0de1a2856c1/accept responded 204 in 0.0544 ms
2025-06-10 09:54:14.479 +03:00 [INF] HTTP POST /api/Reservations/cdcb5da7-596c-4559-a180-b0de1a2856c1/accept responded 404 in 0.2805 ms
2025-06-10 09:54:22.818 +03:00 [INF] HTTP OPTIONS /api/Reservations/cdcb5da7-596c-4559-a180-b0de1a2856c1/accept responded 204 in 0.0637 ms
2025-06-10 09:54:22.823 +03:00 [INF] HTTP POST /api/Reservations/cdcb5da7-596c-4559-a180-b0de1a2856c1/accept responded 404 in 0.3203 ms
2025-06-10 09:54:23.175 +03:00 [INF] HTTP POST /api/Reservations/cdcb5da7-596c-4559-a180-b0de1a2856c1/accept responded 404 in 1.8927 ms
2025-06-10 09:54:23.395 +03:00 [INF] HTTP POST /api/Reservations/cdcb5da7-596c-4559-a180-b0de1a2856c1/accept responded 404 in 0.3348 ms
2025-06-10 09:54:58.811 +03:00 [INF] HTTP POST /api/Auth/login responded 200 in 91.6455 ms
