2025-06-04 08:52:28.253 +03:00 [WRN] No store type was specified for the decimal property 'DamageDeposit' on entity type 'Hotel'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.
2025-06-04 08:52:28.278 +03:00 [WRN] No store type was specified for the decimal property 'Amount' on entity type 'Payment'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.
2025-06-04 08:52:28.284 +03:00 [WRN] No store type was specified for the decimal property 'TotalPrice' on entity type 'Reservation'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.
2025-06-04 08:52:28.285 +03:00 [WRN] No store type was specified for the decimal property 'PricePerNight' on entity type 'Room'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.
2025-06-04 08:53:09.117 +03:00 [WRN] Failed to determine the https port for redirect.
2025-06-04 08:53:09.124 +03:00 [INF] HTTP OPTIONS /api/Hotels/available-hotels responded 204 in 2.7629 ms
2025-06-04 08:53:09.524 +03:00 [WRN] Compiling a query which loads related collections for more than one collection navigation, either via 'Include' or through projection, but no 'QuerySplittingBehavior' has been configured. By default, Entity Framework will use 'QuerySplittingBehavior.SingleQuery', which can potentially result in slow query performance. See https://go.microsoft.com/fwlink/?linkid=2134277 for more information. To identify the query that's triggering this warning call 'ConfigureWarnings(w => w.Throw(RelationalEventId.MultipleCollectionIncludeWarning))'.
2025-06-04 08:53:09.597 +03:00 [INF] HTTP POST /api/Hotels/available-hotels responded 200 in 459.8031 ms
2025-06-04 08:53:20.390 +03:00 [INF] HTTP OPTIONS /api/Hotels/available-hotels responded 204 in 0.2876 ms
2025-06-04 08:53:20.420 +03:00 [INF] HTTP POST /api/Hotels/available-hotels responded 200 in 24.5251 ms
2025-06-04 08:53:33.767 +03:00 [INF] HTTP OPTIONS /api/Hotels/available-hotels responded 204 in 0.0748 ms
2025-06-04 08:53:33.794 +03:00 [INF] HTTP POST /api/Hotels/available-hotels responded 200 in 23.8701 ms
2025-06-04 08:59:55.890 +03:00 [INF] HTTP OPTIONS /api/Hotels/available-hotels responded 204 in 0.1568 ms
2025-06-04 08:59:55.939 +03:00 [INF] HTTP POST /api/Hotels/available-hotels responded 200 in 44.4649 ms
2025-06-04 09:15:12.850 +03:00 [INF] HTTP OPTIONS /api/Hotels/available-hotels responded 204 in 0.2343 ms
